═══════════════════════════════════════════════════════════
🎬 ZOOM RECORDING LOG
═══════════════════════════════════════════════════════════

--- DEVICE INFO ---
Screen: 690 x 750 dp
DPR: 2.63

--- TIMELINE INFO ---
Memories: 6
Content Width: 800 px

--- RECORDING (4420 snapshots) ---

1760202621726 | 100% | LVL1-Yearly | Single:14.6-36.6px | Cluster:12.7-31.7px | Years:2
1760202623638 | 101% | LVL1-Yearly | Single:14.5-36.3px | Cluster:12.6-31.4px | Years:2
1760202623638 | 101% | LVL1-Yearly | Single:14.5-36.3px | Cluster:12.6-31.4px | Years:2
1760202623638 | 101% | LVL1-Yearly | Single:14.5-36.2px | Cluster:12.5-31.4px | Years:2
1760202623638 | 101% | LVL1-Yearly | Single:14.5-36.2px | Cluster:12.5-31.4px | Years:2
1760202623646 | 102% | LVL1-Yearly | Single:14.4-35.9px | Cluster:12.5-31.1px | Years:2
1760202623646 | 102% | LVL1-Yearly | Single:14.4-35.9px | Cluster:12.5-31.1px | Years:2
1760202623646 | 102% | LVL1-Yearly | Single:14.4-35.9px | Cluster:12.4-31.1px | Years:2
1760202623646 | 102% | LVL1-Yearly | Single:14.4-35.9px | Cluster:12.4-31.1px | Years:2
1760202623654 | 103% | LVL1-Yearly | Single:14.3-35.7px | Cluster:12.4-30.9px | Years:2
1760202623654 | 103% | LVL1-Yearly | Single:14.3-35.7px | Cluster:12.4-30.9px | Years:2
1760202623654 | 103% | LVL1-Yearly | Single:14.2-35.6px | Cluster:12.3-30.9px | Years:2
1760202623654 | 103% | LVL1-Yearly | Single:14.2-35.6px | Cluster:12.3-30.9px | Years:2
1760202623663 | 103% | LVL1-Yearly | Single:14.2-35.4px | Cluster:12.3-30.7px | Years:2
1760202623663 | 103% | LVL1-Yearly | Single:14.2-35.4px | Cluster:12.3-30.7px | Years:2
1760202623663 | 104% | LVL1-Yearly | Single:14.1-35.4px | Cluster:12.3-30.6px | Years:2
1760202623663 | 104% | LVL1-Yearly | Single:14.1-35.4px | Cluster:12.3-30.6px | Years:2
1760202623670 | 104% | LVL1-Yearly | Single:14.1-35.3px | Cluster:12.2-30.6px | Years:2
1760202623670 | 104% | LVL1-Yearly | Single:14.1-35.3px | Cluster:12.2-30.6px | Years:2
1760202623670 | 104% | LVL1-Yearly | Single:14.1-35.2px | Cluster:12.2-30.5px | Years:2
1760202623670 | 104% | LVL1-Yearly | Single:14.1-35.2px | Cluster:12.2-30.5px | Years:2
1760202623679 | 104% | LVL1-Yearly | Single:14.1-35.1px | Cluster:12.2-30.5px | Years:2
1760202623679 | 104% | LVL1-Yearly | Single:14.1-35.1px | Cluster:12.2-30.5px | Years:2
1760202623679 | 104% | LVL1-Yearly | Single:14.0-35.1px | Cluster:12.2-30.4px | Years:2
1760202623679 | 104% | LVL1-Yearly | Single:14.0-35.1px | Cluster:12.2-30.4px | Years:2
1760202623687 | 105% | LVL1-Yearly | Single:14.0-35.0px | Cluster:12.1-30.3px | Years:2
1760202623687 | 105% | LVL1-Yearly | Single:14.0-35.0px | Cluster:12.1-30.3px | Years:2
1760202623687 | 105% | LVL1-Yearly | Single:14.0-35.0px | Cluster:12.1-30.3px | Years:2
1760202623687 | 105% | LVL1-Yearly | Single:14.0-35.0px | Cluster:12.1-30.3px | Years:2
1760202623694 | 105% | LVL1-Yearly | Single:13.9-34.9px | Cluster:12.1-30.2px | Years:2
1760202623694 | 105% | LVL1-Yearly | Single:13.9-34.9px | Cluster:12.1-30.2px | Years:2
1760202623694 | 105% | LVL1-Yearly | Single:13.9-34.8px | Cluster:12.1-30.2px | Years:2
1760202623694 | 105% | LVL1-Yearly | Single:13.9-34.8px | Cluster:12.1-30.2px | Years:2
1760202623702 | 105% | LVL1-Yearly | Single:13.9-34.8px | Cluster:12.1-30.1px | Years:2
1760202623702 | 105% | LVL1-Yearly | Single:13.9-34.8px | Cluster:12.1-30.1px | Years:2
1760202623702 | 105% | LVL1-Yearly | Single:13.9-34.7px | Cluster:12.0-30.1px | Years:2
1760202623702 | 105% | LVL1-Yearly | Single:13.9-34.7px | Cluster:12.0-30.1px | Years:2
1760202623715 | 106% | LVL1-Yearly | Single:13.9-34.7px | Cluster:12.0-30.0px | Years:2
1760202623715 | 106% | LVL1-Yearly | Single:13.9-34.7px | Cluster:12.0-30.0px | Years:2
1760202623718 | 106% | LVL1-Yearly | Single:13.9-34.6px | Cluster:12.0-30.0px | Years:2
1760202623718 | 106% | LVL1-Yearly | Single:13.9-34.6px | Cluster:12.0-30.0px | Years:2
1760202623718 | 106% | LVL1-Yearly | Single:13.8-34.6px | Cluster:12.0-30.0px | Years:2
1760202623718 | 106% | LVL1-Yearly | Single:13.8-34.6px | Cluster:12.0-30.0px | Years:2
1760202623727 | 106% | LVL1-Yearly | Single:13.8-34.6px | Cluster:12.0-29.9px | Years:2
1760202623727 | 106% | LVL1-Yearly | Single:13.8-34.6px | Cluster:12.0-29.9px | Years:2
1760202623727 | 106% | LVL1-Yearly | Single:13.8-34.5px | Cluster:12.0-29.9px | Years:2
1760202623727 | 106% | LVL1-Yearly | Single:13.8-34.5px | Cluster:12.0-29.9px | Years:2
1760202623736 | 106% | LVL1-Yearly | Single:13.8-34.5px | Cluster:11.9-29.9px | Years:2
1760202623736 | 106% | LVL1-Yearly | Single:13.8-34.5px | Cluster:11.9-29.9px | Years:2
1760202623736 | 106% | LVL1-Yearly | Single:13.8-34.4px | Cluster:11.9-29.8px | Years:2
1760202623736 | 106% | LVL1-Yearly | Single:13.8-34.4px | Cluster:11.9-29.8px | Years:2
1760202623744 | 106% | LVL1-Yearly | Single:13.7-34.4px | Cluster:11.9-29.8px | Years:2
1760202623744 | 106% | LVL1-Yearly | Single:13.7-34.4px | Cluster:11.9-29.8px | Years:2
1760202623744 | 107% | LVL1-Yearly | Single:13.7-34.3px | Cluster:11.9-29.7px | Years:2
1760202623744 | 107% | LVL1-Yearly | Single:13.7-34.3px | Cluster:11.9-29.7px | Years:2
1760202623752 | 107% | LVL1-Yearly | Single:13.7-34.2px | Cluster:11.9-29.6px | Years:2
1760202623752 | 107% | LVL1-Yearly | Single:13.7-34.2px | Cluster:11.9-29.6px | Years:2
1760202623752 | 107% | LVL1-Yearly | Single:13.7-34.2px | Cluster:11.8-29.6px | Years:2
1760202623752 | 107% | LVL1-Yearly | Single:13.7-34.2px | Cluster:11.8-29.6px | Years:2
1760202623761 | 108% | LVL1-Yearly | Single:13.6-34.0px | Cluster:11.8-29.5px | Years:2
1760202623761 | 108% | LVL1-Yearly | Single:13.6-34.0px | Cluster:11.8-29.5px | Years:2
1760202623761 | 108% | LVL1-Yearly | Single:13.6-34.0px | Cluster:11.8-29.4px | Years:2
