═══════════════════════════════════════════════════════════
🎬 ZOOM RECORDING LOG
═══════════════════════════════════════════════════════════

--- DEVICE INFO ---
Screen: 690 x 750 dp
DPR: 2.63

--- TIMELINE INFO ---
Memories: 6
Content Width: 800 px

--- RECORDING (5029 snapshots) ---

1760244360066 | 100% | scale:0.82 | painterZoom:1.00 | LVL1-Yearly→LVL2-Monthly | Single:9.8-24.6px | Cluster:8.5-21.3px | Years:2
1760244362255 | 100% | scale:0.82 | painterZoom:1.00 | LVL1-Yearly→LVL2-Monthly | Single:9.8-24.6px | Cluster:8.5-21.3px | Years:2
1760244362269 | 100% | scale:0.82 | painterZoom:1.00 | LVL1-Yearly→LVL2-Monthly | Single:9.8-24.6px | Cluster:8.5-21.3px | Years:2
1760244362271 | 103% | scale:0.84 | painterZoom:1.03 | LVL1-Yearly→LVL2-Monthly | Single:10.1-25.3px | Cluster:8.8-21.9px | Years:2
1760244362271 | 103% | scale:0.84 | painterZoom:1.03 | LVL1-Yearly→LVL2-Monthly | Single:10.1-25.3px | Cluster:8.8-21.9px | Years:2
1760244362285 | 106% | scale:0.87 | painterZoom:1.06 | LVL1-Yearly→LVL2-Monthly | Single:10.4-26.0px | Cluster:9.0-22.5px | Years:2
1760244362285 | 106% | scale:0.87 | painterZoom:1.06 | LVL1-Yearly→LVL2-Monthly | Single:10.4-26.0px | Cluster:9.0-22.5px | Years:2
1760244362285 | 106% | scale:0.87 | painterZoom:1.06 | LVL1-Yearly→LVL2-Monthly | Single:10.4-26.0px | Cluster:9.0-22.5px | Years:2
1760244362285 | 106% | scale:0.87 | painterZoom:1.06 | LVL1-Yearly→LVL2-Monthly | Single:10.4-26.0px | Cluster:9.0-22.5px | Years:2
1760244362287 | 108% | scale:0.89 | painterZoom:1.08 | LVL1-Yearly→LVL2-Monthly | Single:10.6-26.6px | Cluster:9.2-23.0px | Years:2
1760244362287 | 108% | scale:0.89 | painterZoom:1.08 | LVL1-Yearly→LVL2-Monthly | Single:10.6-26.6px | Cluster:9.2-23.0px | Years:2
1760244362287 | 108% | scale:0.89 | painterZoom:1.08 | LVL1-Yearly→LVL2-Monthly | Single:10.6-26.6px | Cluster:9.2-23.0px | Years:2
1760244362303 | 109% | scale:0.90 | painterZoom:1.09 | LVL1-Yearly→LVL2-Monthly | Single:10.8-26.9px | Cluster:9.3-23.3px | Years:2
1760244362303 | 109% | scale:0.90 | painterZoom:1.09 | LVL1-Yearly→LVL2-Monthly | Single:10.8-26.9px | Cluster:9.3-23.3px | Years:2
1760244362303 | 109% | scale:0.90 | painterZoom:1.09 | LVL1-Yearly→LVL2-Monthly | Single:10.8-26.9px | Cluster:9.3-23.3px | Years:2
1760244362303 | 109% | scale:0.90 | painterZoom:1.09 | LVL1-Yearly→LVL2-Monthly | Single:10.8-26.9px | Cluster:9.3-23.3px | Years:2
1760244362303 | 111% | scale:0.91 | painterZoom:1.11 | LVL1-Yearly→LVL2-Monthly | Single:10.9-27.3px | Cluster:9.5-23.6px | Years:2
