═══════════════════════════════════════════════════════════
🎬 ZOOM RECORDING LOG
═══════════════════════════════════════════════════════════

--- DEVICE INFO ---
Screen: 384 x 749 dp
DPR: 2.81

--- TIMELINE INFO ---
Memories: 6
Content Width: 800 px

--- RECORDING (2133 snapshots) ---

1760285114437 | 100% | scale:0.46 | painterZoom:1.00 | LVL1-Yearly→LVL1-Yearly | Single:5.5-13.7px | Cluster:4.7-11.9px | Years:2
1760285116487 | 103% | scale:0.47 | painterZoom:1.03 | LVL1-Yearly→LVL1-Yearly | Single:5.6-14.1px | Cluster:4.9-12.2px | Years:2
1760285116487 | 103% | scale:0.47 | painterZoom:1.03 | LVL1-Yearly→LVL1-Yearly | Single:5.6-14.1px | Cluster:4.9-12.2px | Years:2
1760285116487 | 103% | scale:0.47 | painterZoom:1.03 | LVL1-Yearly→LVL1-Yearly | Single:5.6-14.1px | Cluster:4.9-12.2px | Years:2
1760285116487 | 103% | scale:0.47 | painterZoom:1.03 | LVL1-Yearly→LVL1-Yearly | Single:5.6-14.1px | Cluster:4.9-12.2px | Years:2
1760285116495 | 106% | scale:0.48 | painterZoom:1.06 | LVL1-Yearly→LVL1-Yearly | Single:5.8-14.5px | Cluster:5.0-12.6px | Years:2
1760285116495 | 106% | scale:0.48 | painterZoom:1.06 | LVL1-Yearly→LVL1-Yearly | Single:5.8-14.5px | Cluster:5.0-12.6px | Years:2
1760285116495 | 106% | scale:0.48 | painterZoom:1.06 | LVL1-Yearly→LVL1-Yearly | Single:5.8-14.5px | Cluster:5.0-12.6px | Years:2
1760285116495 | 106% | scale:0.48 | painterZoom:1.06 | LVL1-Yearly→LVL1-Yearly | Single:5.8-14.5px | Cluster:5.0-12.6px | Years:2
1760285116504 | 109% | scale:0.50 | painterZoom:1.09 | LVL1-Yearly→LVL1-Yearly | Single:6.0-14.9px | Cluster:5.2-13.0px | Years:2
1760285116504 | 109% | scale:0.50 | painterZoom:1.09 | LVL1-Yearly→LVL1-Yearly | Single:6.0-14.9px | Cluster:5.2-13.0px | Years:2
1760285116504 | 110% | scale:0.50 | painterZoom:1.10 | LVL1-Yearly→LVL1-Yearly | Single:6.0-15.0px | Cluster:5.2-13.0px | Years:2
1760285116504 | 110% | scale:0.50 | painterZoom:1.10 | LVL1-Yearly→LVL1-Yearly | Single:6.0-15.0px | Cluster:5.2-13.0px | Years:2
1760285116512 | 113% | scale:0.51 | painterZoom:1.13 | LVL1-Yearly→LVL1-Yearly | Single:6.2-15.4px | Cluster:5.3-13.4px | Years:2
1760285116512 | 113% | scale:0.51 | painterZoom:1.13 | LVL1-Yearly→LVL1-Yearly | Single:6.2-15.4px | Cluster:5.3-13.4px | Years:2
1760285116512 | 113% | scale:0.51 | painterZoom:1.13 | LVL1-Yearly→LVL1-Yearly | Single:6.2-15.4px | Cluster:5.4-13.4px | Years:2
1760285116512 | 113% | scale:0.51 | painterZoom:1.13 | LVL1-Yearly→LVL1-Yearly | Single:6.2-15.4px | Cluster:5.4-13.4px | Years:2
1760285116521 | 116% | scale:0.53 | painterZoom:1.16 | LVL1-Yearly→LVL1-Yearly | Single:6.3-15.9px | Cluster:5.5-13.8px | Years:2
1760285116521 | 116% | scale:0.53 | painterZoom:1.16 | LVL1-Yearly→LVL1-Yearly | Single:6.3-15.9px | Cluster:5.5-13.8px | Years:2
1760285116521 | 117% | scale:0.53 | painterZoom:1.17 | LVL1-Yearly→LVL1-Yearly | Single:6.4-16.0px | Cluster:5.6-13.9px | Years:2
1760285116521 | 117% | scale:0.53 | painterZoom:1.17 | LVL1-Yearly→LVL1-Yearly | Single:6.4-16.0px | Cluster:5.6-13.9px | Years:2
1760285116529 | 120% | scale:0.55 | painterZoom:1.20 | LVL1-Yearly→LVL1-Yearly | Single:6.6-16.4px | Cluster:5.7-14.2px | Years:2
1760285116529 | 120% | scale:0.55 | painterZoom:1.20 | LVL1-Yearly→LVL1-Yearly | Single:6.6-16.4px | Cluster:5.7-14.2px | Years:2
1760285116529 | 121% | scale:0.55 | painterZoom:1.21 | LVL1-Yearly→LVL1-Yearly | Single:6.6-16.6px | Cluster:5.8-14.4px | Years:2
1760285116529 | 121% | scale:0.55 | painterZoom:1.21 | LVL1-Yearly→LVL1-Yearly | Single:6.6-16.6px | Cluster:5.8-14.4px | Years:2
1760285116541 | 124% | scale:0.57 | painterZoom:1.24 | LVL1-Yearly→LVL1-Yearly | Single:6.8-17.0px | Cluster:5.9-14.7px | Years:2
1760285116541 | 124% | scale:0.57 | painterZoom:1.24 | LVL1-Yearly→LVL1-Yearly | Single:6.8-17.0px | Cluster:5.9-14.7px | Years:2
1760285116541 | 125% | scale:0.57 | painterZoom:1.25 | LVL1-Yearly→LVL1-Yearly | Single:6.9-17.2px | Cluster:5.9-14.9px | Years:2
